titulo_ci,precio_ci
Vino tinto Les Cousins Sagesse Priorato,26
Vino tinto Maquinon The Wine Gurus Priorato,"18,37,14,18,11,24"
Vino Dulce de Pedro Ximénez Niños Valdespino,95
Vino dulce de Jerez Moscatel Viejísimo Valdespino,119
Vino tinto Gaudium Reserva Marqués de Cáceres Rioja,39
Vino tinto Predicador Rioja Magnum,59
Vinto tinto Valtuille Cepas Centenarias Bierzo,26
Vino tinto Marqués de Vargas selección privada Rioja,42
Vino tinto Pago de Carraovejas El Anejón 2011 Ribera del Duero,89
Vino oloros seco Alfonso Jerez,8
Vino tinto Figuero Viñas Viejas 2009 Ribera del Duero,59
Vino tinto Depaula Monastrell Jumilla,9
Vino manzanilla de Sanlucar Maruja Juan Piñero,9
Vino blanco Gargalo Treixadura & Albariño Monterrei,15
Vino tinto Dehesa de los Canónigos reserva Ribera del Duero magnum,89
Vino rosado Viñas de Anna Flor de Rosa Cataluña,4
Cava Gran Reserva semi-dulce Gramona Postre,12
Vino blanco Davila M100 Rías Baixas,19
Vino tinto Lanzaga LZ Rioja,9
Vino Frank Gehry reserva 2012 Marqués de Riscal Rioja,"299,699,72"
Vino tinto Casa Castillo Monastrell Jumilla,8
Vino blanco Fai un Sol de Carallo Ribeiro,74
Vino blanco monovarietal Xarel·lo Augustus Penedés,9
Vino tinto Monastrell Pie Franco Josede,12
Vino blanco Avancia Valdeorras,23
Vino oloroso viejísimo Sibarita Jerez,80
Vino tinto 3 parcelas Tarsus Ribera del Duero,44
Vino blanco Encina Blanca de Alburquerque Extremadura,9
Vino tinto Vega Sicilia Valbuena 5ª 2008 Ribera del Duero,119
Vino tinto Tarabelo Ribeiro,15
Vino tinto Valduero 2010 Ribera del Duero,48
Vino blanco de Galicia Máis Alá Godello Valdeorras,21
Vino tinto Gladiator Ribera del Guadiana,19
Vino blanco Cien Montañas Albarín Cangas,14
Vino tinto Castaño Dulce Yecla,13
Vino tinto Maduresa Valencia,16
Vino tinto Hacienda El Ternero Selección Rioja Tempranillo,14
Vino tinto Marqués de Griñón Petit Verdot Valdepusa,25
Vino tinto Corimbo Ribera del Duero,21
Vino tinto Blecua Somontano,69
Vino tinto Abadía Retuerta Pago Negralada,73
Vino tinto Beronia Selección 198 Barricas Reserva Rioja,24
Vino tinto Roda reserva Rioja botellín,18
Vino tinto Protos reserva Ribera del Duero,25
Vino tinto crianza Muga Rioja botellín,9
Vino tinto El Regalo de Izadi reserva Rioja,20
Vino tinto Ochoa gran reserva Navarra,24
Vino tinto Pérez Pascuas Gran Selección 2010 Ribera del Duero,214
Vino tinto Contino Graciano Reserva Rioja,59
Vino palo cortado Leonor González Byass Jerez,26
Vino tinto Tocat de l'ala Empordá,12
Vino fino Dos Palmas Jerez,24
Vino dulce Ochoa Moscatel Vendimia Tardía Navarra,14
Vino dulce Pedro Ximénez Tradición 20 años Jerez,69
Vino dulce Pedro Ximénez Don PX Gran Reserva ''Toro Albalá'' Montilla-Moriles,33
Vino amontillado Tradicion 30 años Jerez,59
Vino blanco Viñas del Vero Gewürztraminer Somontano,10
Vino manzanilla clásica Fernando de Castilla Jerez,8
Vino blanco L'Equilibrista Cataluña,17
Vino manzanilla Papirusa Lustau reserva solera Sanlúcar de Barrameda,11
Vino oloroso Tradición Vors 30 años Jerez,58
Vino tinto Victorino Toro,41
Vino tinto Alabaster Toro,144
Vino tinto Almirez Toro,17
Vino tinto Petit Hipperia Tierra de Castilla,14
Cava Gran Reserva Brut Ars Collecta Jaume Codorníu,38
Vino tinto Reserva Moisés Toro Magnum,45
Vino tinto Teso La Monja Toro 2009,1.272
Vino tinto Viña Pedrosa La Navilla reserva Ribera del Duero,32
Vino tinto Hacienda Monasterio Reserva 2014 Ribera del Duero,49
Vino blanco El Gordo del Circo The Wine Gurus Rueda Magnum,"24,37,18,14,18,11"
Vino tinto Sela Bodegas Roda Rioja,16
Vino espumoso moscatel Botani Sierras de Málaga Jorge Ordoñez,10
Vino tinto Trasnocho reserva Remirez de Ganuza Rioja,85
Cava Brut Imperial Gramona,18
Vino tinto Contino Gran Reserva Rioja,39
Vino tinto Cepa 21 Ribera del Duero,19
Vino tinto Abadal 3.9 Vi de Finca Pla de Bages,25
Vino tinto ecológico Entredicho Sierra de Segura Jaén,14
Vino blanco Marqués de Riscal Barón de Chirel Verdejo Viñas Centenarias Castilla y León,42
Cava Dominio Vega Authentique brut nature reserva especial,20
Estuche Vino tinto Beronia Selección 198 Barricas reserva Rioja con sacacorchos,45
Vino tinto Mil Cepas Castilla Tierra de Castilla,22
Cava Brut Rosé Albert Vilarnau,12
Estuche 2 botellas Cava Juvé & Camps Reserva de la Familia Brut Nature,31
Vino Blanco Gran Reserva Castillo Ygay,495
Vino blanco Finca Calvestra Mustiguillo,17
Cava Gorgona Medusa Brut Nature Pago de Tharsys,19
Vino blanco Vermentino Delea a Marca Andalucía,9
Vino oloroso VORS Lustau Jerez,48
Vino tinto Pinot Noir de Utiel Requena Bassus,19
Vino palo cortado Vors Lustau,48
